,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,qout_km3
2007-01-31,0.0620273988939448,0.12700999999999998,0.03101742595879455,0.09709102126653321,0.2665226863660173,0.04449770289116318,1.226003115296364,0.13223275644,0.011598706262016005
2007-02-28,0.3724686336112513,0.119098,0.044498150001552265,0.10077110536281844,0.36121762079442826,0.03814879771429509,2.69687667847138,0.1391303766,0.043846720809984
2007-03-31,0.06063410254096333,0.504559,0.07806775145595647,0.20446132836594988,0.34253152839238277,0.08698696376006661,1.4230771933811504,0.14451945072,0.043037639608319994
2007-04-30,0.10430188080139886,0.671009,0.07381339112542815,0.1799878612194428,0.34604395177622593,0.05891157131744875,0.3145740362731703,0.15191663028,0.02547125609472
2007-05-31,0.035838893963555704,1.474739,0.11749976285317708,0.3366080446186397,0.23996876558416316,0.04024021870237568,0.0,0.16479539496,0.016357532525568
2007-06-30,0.004572950263594125,2.038164,0.09207304443874645,0.38839858199719945,0.14063743228907924,0.010286003867144866,0.0,0.16730182632,0.004363949620224
2007-07-31,0.000478617911364295,1.89058,0.05920334243206769,0.3847474129741042,0.09947183023043765,0.00036474145214471487,0.0,0.16345336872,0.0015934520309760004
2007-08-31,0.00019368380220636562,1.574198,0.05267065445587671,0.36003959605352004,0.0782567929920251,0.0,0.0,0.16420455804,0.0007532504395776002
2007-09-30,0.01738700866464984,1.231844,0.06891876669101646,0.2356931341086131,0.06490958413342118,8.09503839829895e-06,0.0,0.16086306072,0.0007664129943552001
2007-10-31,0.06859428987089744,0.471887,0.04030784756486124,0.1262548943799157,0.05943020365462589,5.023438231928499e-05,0.0,0.1411347816,0.0018855726704640004
2007-11-30,0.0411970127322449,0.14878,0.03514609534592334,0.1289765551077714,0.057182252688966276,3.6130397659247885e-05,0.0,0.13688297604,0.0021564081377279994
2007-12-31,0.1957299503259747,0.080132,0.022593871809526638,0.05280155226944382,0.20231558690936474,0.017852503103093022,1.5083860248588026,0.13359698532,0.004521019511808001
2008-01-31,0.3495244434607794,0.24029599999999998,0.02049103289929076,0.04525595034536533,0.36388706256614906,0.1647228701954394,5.453694623924793,0.12919222824,0.024838817356800002
2008-02-29,0.19778710151157847,0.453382,0.04363827759572058,0.11120923229988244,0.3820111672267797,0.26314982092738987,7.185887728691101,0.13719134604,0.030048791408639995
2008-03-31,0.0369684737880688,0.838565,0.046080466146638965,0.12208042182982093,0.35728370660452397,0.2629178174736548,4.991216266615316,0.1263638586,0.02666273642496
2008-04-30,0.008695905270195365,0.753591,0.08728936281859966,0.2651611956327684,0.29869648456202047,0.23665340578814328,1.6818255445202708,0.15244209276,0.023636327454719996
2008-05-31,0.054333217352627826,1.503101,0.06517834179479741,0.22556503269672176,0.21313385093160161,0.18636304486599706,0.0,0.13978165404,0.01857926412288
2008-06-30,9.664866537434277e-06,2.092392,0.06592005245612327,0.2972330187774609,0.12785221117189022,0.12333174543006557,0.0,0.15544808352,0.004908067126271999
2008-07-31,4.85110451620468e-06,2.3624069999999997,0.04290626973782087,0.2831904370941445,0.09371145588093491,0.05127868019960319,0.0,0.15191292984,0.0011606290633727999
2008-08-31,0.0,1.6116329999999999,0.04239721100591564,0.3598096144537509,0.0748848665435357,0.008482263168843835,0.0,0.13672015668,0.0003328071238655999
2008-09-30,0.0002613892895673252,0.836328,0.03441617502706954,0.21864840668609933,0.06266163316776158,0.00016235811563307,0.0,0.1620607698,0.0001967288159232
2008-10-31,0.051386825851031485,0.321752,0.048056185274504545,0.17584204017517197,0.05409132011118432,0.00010741748259323307,0.0,0.15225953772,0.0009425906095103999
2008-11-30,0.14722003166448908,0.064945,0.029766860757718082,0.08800480674347355,0.13614153035776003,0.00039894360349610765,0.0,0.1525444716,0.002527553037312001
2008-12-31,0.1809675988429185,0.015965999999999998,0.026566714120404355,0.07083480601672511,0.261043305887222,0.04439227552241382,1.322468927166425,0.13558535508,0.003595726162944001
2009-01-31,0.13844662149814566,0.131852,0.04259635547398992,0.13871810411295354,0.3192090371236644,0.034271620610001795,2.214355944497511,0.13960279944,0.010959661780992001
2009-02-28,0.27448101998953955,0.21829199999999999,0.03716795161975953,0.07375150456958436,0.3806061978732424,0.0612401918262667,3.411682537403424,0.13990870248,0.03644902250496
2009-03-31,0.22107448739464522,0.508007,0.07165574449420947,0.18939140521218722,0.3898789956065883,0.10078867171503997,3.263378839579411,0.13217601636,0.08252041079808
2009-04-30,0.0742828507331432,0.648849,0.0697034279829793,0.1807301143208754,0.3605151361176596,0.08969421381962764,1.3483195559944507,0.14153319564,0.03492970159104
2009-05-31,0.14037229717654398,1.513363,0.1157462148674765,0.31635502208007715,0.2911096500529193,0.04973362873854715,0.0,0.1595444706,0.05830424589311999
2009-06-30,0.008340203359370644,2.7655719999999997,0.09135515910561495,0.3232145729606826,0.18868738418005335,0.01704810423129347,0.0,0.15756966912,0.007066921835520001
2009-07-31,0.00021724155988746724,2.2988679999999997,0.05748580691371079,0.40034870578735104,0.11843891650319062,0.00318826778901272,0.0,0.1576264092,0.0016656258908160002
2009-08-31,0.0010960345553115587,1.810184,0.04598730734060291,0.34729928426560275,0.08893456007890825,0.0002854286579538021,0.0,0.1522792734,0.0005002504786944
2009-09-30,0.0038219503121778822,0.880647,0.044745563291683645,0.270788952922437,0.07193443090110746,1.875121869466089e-06,0.0,0.14722077192,0.0003486853730304
