,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,Sres_outlet
2004-10-31,2.19434322287179,0.023833999999999998,0.44830260473702177,1.5529079434330761,1.0416973246078494,0.010401321448870396,0.0,0.10642835484,2.66297724072
2004-11-30,0.9025548152398621,0.023198999999999997,0.22353242732766507,0.53605545346529,1.3114903240748172,0.0337145832441905,0.16529575569101146,0.0801206934,2.62021742304
2004-12-31,2.737793934613969,0.0036959999999999996,0.22778794901628163,0.48243843370311135,2.039026294188474,0.0438708269531878,0.4944281085487456,0.05754924288,2.98155922164
2005-01-31,1.826240457403405,0.009533999999999999,0.1569564306631069,0.26051555454847336,2.0756058077906827,0.24275453233691402,0.8641713125854731,0.0384969108,3.49325359788
2005-02-28,1.2159750412001624,0.014289999999999999,0.3376649555918785,0.8277714921800325,2.235390891209186,0.1875361137113368,1.0650571665391326,0.02461532688,3.90773371488
2005-03-31,2.1948673661244746,0.062036999999999995,0.42568865637306535,1.558557516229751,2.3018738641719216,0.15870588154399043,1.2085914319418372,0.0175092486,4.72057853268
2005-04-30,1.6237879737523484,0.116614,0.42857435773467123,1.3584989958079199,2.061963336999554,0.1941065482444888,0.9569696945754115,0.02380863096,5.18953899432
2005-05-31,3.153995531088519,0.208874,0.8019100854846671,2.389774826405342,1.821185664295153,0.12754320309507544,0.2790464195040986,0.19618622748,5.51117137128
2005-06-30,0.7846592743943129,0.238054,1.111954061732947,4.216163749942577,1.187199958215178,0.06919260254731598,0.0,0.23247767604,5.20181212032
2005-07-31,0.018955871417776885,0.188281,0.8138354293238426,5.162387981174749,0.6980226973800409,0.03055071095483296,0.0,0.20879856048,4.48889768472
2005-08-31,0.0020116906759646736,0.15096099999999998,0.5974131487020735,4.723021767206742,0.5145768310739827,0.012125600840429348,0.0,0.16735609944,4.03565915916
2005-09-30,0.16391636911802773,0.11662399999999999,0.6182924882096651,3.109376201746652,0.4131049508016691,0.007174981666421329,0.0,0.12797725044,3.74341074276
2005-10-31,0.5290615009327272,0.026139,0.36854266190554646,1.527187752112238,0.35126697129943846,0.005963934063533149,0.0,0.09595364268,3.52204672152
2005-11-30,2.684102978245931,0.006058,0.28094027503362967,0.7568216822593169,1.6090081177423312,0.02821526331774594,0.05858400024403819,0.06162219384,3.57220865268
2005-12-31,5.885230398998414,0.00313,0.14077369370547077,0.27467939967919,2.4120864558642197,0.24128686059769777,0.3240874710788485,0.11846835312,4.63142999916
2006-01-31,3.374633665308607,0.004523999999999999,0.12515385603275234,0.1587368215232157,2.427644770124499,0.1693733567325795,0.6339406262254634,0.14000738088,4.42335055752
2006-02-28,1.999598496491166,0.0045899999999999995,0.27551997364047365,0.776570478813701,2.4274484025139205,0.2701804079315523,0.6899226888339036,0.15584896452,4.72943861952
2006-03-31,3.3415085920272007,0.06394999999999999,0.13692483774330602,0.2148983924323732,2.4261316723193977,0.6026927852388339,1.182962727248669,0.13393495884,4.753708572
2006-04-30,3.125246713170383,0.10669899999999999,0.3549415593366769,1.1691317192957213,2.3242940013013835,0.5744560752854664,1.193141942762595,0.14882799636,5.0046045714
2006-05-31,0.5600732978059441,0.161991,0.8418717702400783,3.432806146850589,1.459237616067765,0.3839628816290529,0.2755994716005808,0.21983327256,5.51007974148
2006-06-30,0.2141647486832622,0.185741,1.0226426251424092,4.541082724500212,0.8609561644650416,0.2227516084509946,0.0,0.23379133224,5.24118233496
2006-07-31,0.026743007041020596,0.184335,0.6671120423272034,5.242004117429966,0.5920848666286683,0.11030112550207725,0.0,0.1943902806,4.66762770324
2006-08-31,0.0497749217784274,0.163167,0.6232962848526787,4.6556004635902495,0.4608996509386792,0.05618987038260342,0.0,0.14545936248,4.16632662948
2006-09-30,0.02996415776241731,0.085437,0.5579022679075473,3.275324367921362,0.3799146988062118,0.03923507058082107,0.0,0.11913196536,3.9534822546
2006-10-31,0.18366824585902317,0.049328,0.33433203804463335,1.640272427641518,0.32464714608800627,0.03312035935602643,0.0,0.08620051632,3.8477236794
2006-11-30,2.1048633060276307,0.011177999999999999,0.2647211095498438,0.5370324722405626,1.1253215468861237,0.06628655910778067,0.044254027086775755,0.0565365558,3.85721160756
